,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
Connor McDavid,Canada,EDM,24,F,80,44,79,123,45,28,22:03,18:08,3:43,0:12,34,10,0,9,4,44,34,1,14,1,78,44,1,23,5,35.8%,1.495,2.685,4.181,1.406,1.819,3.225,2.014,6.849,8.863,0.550,0.988,1.538,314,14.0%,75,26,562,484,53.73%
Jonathan Huberdeau,Canada,FLA,28,F,80,30,85,115,54,35,19:25,13:54,3:41,1:49,22,5,3,7,2,50,33,2,15,6,72,38,5,22,8,33.0%,1.159,3.283,4.441,1.187,2.698,3.885,1.016,6.709,7.725,0.375,1.063,1.438,222,13.5%,99,28,18,36,33.33%
Kirill Kaprizov,Russia,MIN,24,F,81,47,61,108,34,27,19:06,15:45,3:18,0:02,33,14,0,5,2,44,17,0,11,3,77,31,0,16,5,28.7%,1.822,2.365,4.187,1.551,2.068,3.620,3.135,3.806,6.941,0.580,0.753,1.333,289,16.3%,73,29,5,4,55.56%
Steven Stamkos,Canada,TBL,31,F,81,42,64,106,36,24,18:28,14:22,3:42,0:23,26,16,0,11,3,44,20,0,4,1,70,36,0,15,4,34.0%,1.684,2.566,4.249,1.339,2.266,3.606,3.197,3.996,7.194,0.519,0.790,1.309,241,17.4%,93,31,545,523,51.03%
J.T. Miller,United-States,VAN,28,F,80,32,67,99,47,15,21:04,15:40,3:18,2:05,24,8,0,6,3,35,30,2,10,0,59,38,2,16,3,38.4%,1.139,2.385,3.524,1.148,1.675,2.823,1.814,6.801,8.615,0.400,0.838,1.238,206,15.5%,172,56,667,566,54.10%
Roman Josi,Switzerland,NSH,31,D,80,23,73,96,46,13,25:32,21:27,3:23,0:42,12,11,0,2,0,47,26,0,16,3,59,37,0,18,3,38.5%,0.675,2.143,2.818,0.419,1.643,2.062,2.438,5.762,8.200,0.288,0.913,1.200,281,8.2%,66,133,0,0,0.00%
Kyle Connor,United-States,WPG,25,F,79,47,46,93,4,-3,21:46,16:59,3:23,1:23,36,8,3,9,1,26,20,0,11,2,62,28,3,20,3,30.1%,1.639,1.604,3.244,1.609,1.162,2.772,1.789,4.473,6.262,0.595,0.582,1.177,317,14.8%,32,23,1,6,14.29%
Patrick Kane,United-States,CHI,33,F,78,26,66,92,18,-19,21:49,18:00,3:47,0:01,17,9,0,2,0,44,22,0,11,5,61,31,0,13,5,33.7%,0.916,2.326,3.243,0.726,1.879,2.606,1.828,4.468,6.296,0.333,0.846,1.179,287,9.1%,11,26,4,4,50.00%
Aleksander Barkov,Finland,FLA,26,F,67,39,49,88,18,36,20:18,14:39,3:29,2:09,23,12,4,5,2,34,14,1,6,3,57,26,5,11,5,29.5%,1.720,2.161,3.881,1.405,2.077,3.483,3.082,3.596,6.678,0.582,0.731,1.313,214,18.2%,50,42,713,539,56.95%
Nazem Kadri,Canada,COL,31,F,71,28,59,87,71,13,19:14,14:53,3:52,0:28,20,8,0,6,0,38,21,0,10,2,58,29,0,16,2,33.3%,1.230,2.591,3.821,1.135,2.156,3.291,1.745,4.580,6.324,0.394,0.831,1.225,247,11.3%,52,19,585,592,49.70%
